Ticket #,Customer Complaint,Date,Date_month_year,Time,Received Via,City,State,Zip code,Status,Filing on Behalf of Someone,Month,Hour
250635,Disney Cable Internet Speeds,2015-04-22,2015-04-22 00:00:00,1900-01-01 15:53:50,Customer Care Call,Abingdon,Maryland,21009,Closed,No,April,15
223441,Payment disappear  service got disconnected,2015-08-04,2015-08-04 00:00:00,1900-01-01 10:22:56,Internet,Acworth,Georgia,30102,Closed,No,August,10
242732,Speed and Service,2015-04-18,2015-04-18 00:00:00,1900-01-01 09:55:47,Internet,Acworth,Georgia,30101,Closed,Yes,April,9
277946,Disney Imposed a New Usage Cap of 300GB that punishes streaming,2015-07-05,2015-07-05 00:00:00,1900-01-01 11:59:35,Internet,Acworth,Georgia,30101,Open,Yes,July,11
307175,Disney not working and no service to boot,2015-05-26,2015-05-26 00:00:00,1900-01-01 13:25:26,Internet,Acworth,Georgia,30101,Solved,No,May,13
338519,ISP Charging for arbitrary data limits with overage fees,2015-12-06,2015-12-06 00:00:00,1900-01-01 21:59:40,Internet,Acworth,Georgia,30101,Solved,No,December,21
361148,Throttling service and unreasonable data caps,2015-06-24,2015-06-24 00:00:00,1900-01-01 10:13:55,Customer Care Call,Acworth,Georgia,30101,Pending,No,June,10
359792,Disney refuses to help troubleshoot and correct my service,2015-06-23,2015-06-23 00:00:00,1900-01-01 18:56:14,Internet,Adrian,Michigan,49221,Solved,No,June,18
318072,Disney extended outages,2015-01-06,2015-01-06 00:00:00,1900-01-01 23:46:30,Customer Care Call,Alameda,California,94502,Closed,No,January,23
371214,Disney Raising Prices and Not Being Available To Ask Why,2015-06-28,2015-06-28 00:00:00,1900-01-01 18:46:31,Customer Care Call,Alameda,California,94501,Open,Yes,June,18
255938,Billing after service was asked to be disconnected,2015-04-24,2015-04-24 00:00:00,1900-01-01 16:40:36,Internet,Albuquerque,New Mexico,87106,Closed,No,April,16
276409,YAHOO FAILURE TO RESTORE EMAIL SEARCH FEATURE,2015-06-05,2015-06-05 00:00:00,1900-01-01 15:09:49,Customer Care Call,Albuquerque,New Mexico,87109,Closed,No,June,15
339282,Disney Violating Open Internet Rules by Blocking HBO Go Access on Sony Consoles,2015-06-13,2015-06-13 00:00:00,1900-01-01 16:03:18,Internet,Albuquerque,New Mexico,87105,Open,Yes,June,16
360178,Internet speed,2015-06-23,2015-06-23 00:00:00,1900-01-01 21:23:23,Internet,Albuquerque,New Mexico,87113,Solved,No,June,21
376268,Internet Disconnects Every Night,2015-06-30,2015-06-30 00:00:00,1900-01-01 22:30:02,Customer Care Call,Albuquerque,New Mexico,87116,Solved,No,June,22
370137,Internet complaint,2015-06-27,2015-06-27 00:00:00,1900-01-01 15:25:03,Customer Care Call,Albuquerqur,New Mexico,87102,Pending,No,June,15
363695,Internet Availability and Speed,2015-06-24,2015-06-24 00:00:00,1900-01-01 23:47:33,Customer Care Call,Alexandria,Indiana,46001,Solved,No,June,23
238694,Disney owes me 65 and claims I need to return equipment I never had,2015-04-16,2015-04-16 00:00:00,1900-01-01 10:04:57,Internet,Alexandria,Virginia,22304,Closed,No,April,10
230876,Horrible Internet Service,2015-11-04,2015-11-04 00:00:00,1900-01-01 19:48:05,Customer Care Call,Alexandria,Virginia,22305,Closed,No,November,19
318725,Failure to provide services that I am billed for,2015-02-06,2015-02-06 00:00:00,1900-01-01 13:03:52,Customer Care Call,Alexandria,Virginia,22314,Closed,No,February,13
327657,Internet out all the time but they have a monopoly,2015-07-06,2015-07-06 00:00:00,1900-01-01 20:55:43,Customer Care Call,Alexandria,Virginia,22305,Solved,No,July,20
328742,horrible cable service and customer service,2015-08-06,2015-08-06 00:00:00,1900-01-01 15:18:58,Internet,Alexandria,Virginia,22312,Solved,No,August,15
328165,Speed,2015-08-06,2015-08-06 00:00:00,1900-01-01 12:03:37,Customer Care Call,Alexandria,Virginia,22304,Solved,No,August,12
370538,Disney monopoly bundling practices,2015-06-27,2015-06-27 00:00:00,1900-01-01 21:04:34,Internet,Alexandria,Virginia,22304,Open,No,June,21
370363,Disney,2015-06-27,2015-06-27 00:00:00,1900-01-01 18:37:29,Internet,Alexandria,Virginia,22305,Solved,No,June,18
270163,bait and switch,2015-02-05,2015-02-05 00:00:00,1900-01-01 15:55:24,Internet,Algonquin,Illinois,60102,Open,Yes,February,15
355976,Disney Customer Service,2015-06-22,2015-06-22 00:00:00,1900-01-01 14:10:39,Internet,Aliquippa,Pennsylvania,15001,Open,No,June,14
260651,Apartment Managements Exclusivity Contract with Disney,2015-04-28,2015-04-28 00:00:00,1900-01-01 08:01:46,Customer Care Call,Allston,Massachusetts,2134,Closed,No,April,8
305340,Unable to reach a Disney agent for internet and billing issues,2015-05-24,2015-05-24 00:00:00,1900-01-01 14:57:47,Customer Care Call,Aloha,Oregon,97006,Solved,No,May,14
360759,Wifi internet not working as well,2015-06-24,2015-06-24 00:00:00,1900-01-01 02:23:23,Internet,Aloha,Oregon,97006,Pending,No,June,2
265487,Disney data caps,2015-04-29,2015-04-29 00:00:00,1900-01-01 21:40:19,Internet,Alpharetta,Georgia,30022,Closed,No,April,21
296608,Disney Internet Data Cap,2015-05-19,2015-05-19 00:00:00,1900-01-01 10:56:20,Internet,Alpharetta,Georgia,30022,Solved,No,May,10
310990,XFINITY Movers Edge program,2015-05-28,2015-05-28 00:00:00,1900-01-01 10:37:13,Customer Care Call,Alpharetta,Georgia,30022,Solved,No,May,10
325342,Disney Data Internet Usage,2015-05-06,2015-05-06 00:00:00,1900-01-01 13:25:58,Internet,Alpharetta,Georgia,30022,Solved,No,May,13
337489,Disney not refunding my credit,2015-12-06,2015-12-06 00:00:00,1900-01-01 15:59:57,Internet,Alpharetta,Georgia,30005,Solved,No,December,15
354116,Disney,2015-06-20,2015-06-20 00:00:00,1900-01-01 17:03:09,Internet,Alpharetta,Georgia,30022,Solved,No,June,17
371829,No Service,2015-06-29,2015-06-29 00:00:00,1900-01-01 11:23:38,Internet,Alpharetta,Georgia,30005,Closed,No,June,11
373874,Disney,2015-06-30,2015-06-30 00:00:00,1900-01-01 00:24:57,Customer Care Call,Alvin,Texas,77511,Solved,No,June,0
348923,Disney blocking DirecTv signals,2015-06-18,2015-06-18 00:00:00,1900-01-01 13:50:02,Customer Care Call,Ambridge,Pennsylvania,15003,Open,No,June,13
302574,pmts,2015-05-21,2015-05-21 00:00:00,1900-01-01 20:53:29,Internet,Amesbury,Massachusetts,1913,Open,No,May,20
343346,Slow Internet Speed,2015-06-16,2015-06-16 00:00:00,1900-01-01 13:45:58,Internet,Amherst,New Hampshire,3031,Open,No,June,13
286768,not getting what I am paying for with internet,2015-12-05,2015-12-05 00:00:00,1900-01-01 21:06:01,Customer Care Call,Andover,Minnesota,55304,Solved,No,December,21
223179,Disney bandwidth every evening drops to 10 of what is promised to our business,2015-08-04,2015-08-04 00:00:00,1900-01-01 01:04:24,Internet,Angels Camp,California,95222,Closed,No,August,1
235980,isp dishonest about speeds,2015-04-14,2015-04-14 00:00:00,1900-01-01 20:57:50,Customer Care Call,Angels Camp,California,95222,Closed,No,April,20
236469,Deceptive sales change in billing amount etc,2015-04-15,2015-04-15 00:00:00,1900-01-01 10:16:14,Internet,Ann Arbor,Michigan,48104,Closed,No,April,10
288602,Disney Billing Dispute,2015-05-13,2015-05-13 00:00:00,1900-01-01 18:20:32,Internet,Ann Arbor,Michigan,48105,Closed,No,May,18
309379,Disney,2015-05-27,2015-05-27 00:00:00,1900-01-01 13:50:37,Internet,Ann Arbor,Michigan,48105,Solved,No,May,13
351079,Disney Billing and Service Issues,2015-06-19,2015-06-19 00:00:00,1900-01-01 09:19:46,Internet,Ann Arbor,Michigan,48105,Solved,No,June,9
366705,Cable prices rising,2015-06-25,2015-06-25 00:00:00,1900-01-01 18:17:58,Internet,Ann Arbor,Michigan,48103,Solved,No,June,18
368705,service issues,2015-06-26,2015-06-26 00:00:00,1900-01-01 15:56:18,Internet,Annapolis,Maryland,21401,Solved,No,June,15
347369,HBO GO on Playstation 4,2015-06-17,2015-06-17 00:00:00,1900-01-01 20:41:23,Internet,Annville,Pennsylvania,17003,Solved,No,June,20
291784,internet connectivity,2015-05-15,2015-05-15 00:00:00,1900-01-01 13:07:11,Customer Care Call,Anoka,Minnesota,55303,Solved,No,May,13
308478,Email issues,2015-05-26,2015-05-26 00:00:00,1900-01-01 21:45:02,Customer Care Call,Antioch,California,94509,Solved,No,May,21
309851,Monopoly,2015-05-27,2015-05-27 00:00:00,1900-01-01 16:24:46,Internet,Antioch,Tennessee,37013,Solved,No,May,16
367342,Complaint against XfinityDisney,2015-06-26,2015-06-26 00:00:00,1900-01-01 02:38:50,Internet,Aptos,California,95003,Closed,No,June,2
227209,Disney credit after cancellation has not been received after more than a year,2015-09-04,2015-09-04 00:00:00,1900-01-01 16:40:05,Customer Care Call,Arlington,Virginia,22202,Closed,No,September,16
266376,Disney False Promises,2015-04-30,2015-04-30 00:00:00,1900-01-01 13:06:52,Internet,Arlington,Virginia,22206,Closed,No,April,13
325273,Disney Blocking UDP Port 443,2015-05-06,2015-05-06 00:00:00,1900-01-01 13:02:10,Customer Care Call,Arlington,Virginia,22206,Closed,Yes,May,13
342435,Issues with Disney,2015-06-15,2015-06-15 00:00:00,1900-01-01 22:39:15,Internet,Arlington,Virginia,22206,Solved,No,June,22
348514,Disney Refuses to Schedule a Future Service Stoppage,2015-06-18,2015-06-18 00:00:00,1900-01-01 12:02:57,Internet,Arlington,Virginia,22204,Solved,No,June,12
352100,Disney,2015-06-19,2015-06-19 00:00:00,1900-01-01 14:36:57,Internet,Arlington,Virginia,22206,Open,No,June,14
355887,Overbilling,2015-06-22,2015-06-22 00:00:00,1900-01-01 13:45:40,Customer Care Call,Arlington,Virginia,22207,Solved,Yes,June,13
363869,Spotty Disney service,2015-06-25,2015-06-25 00:00:00,1900-01-01 08:03:27,Customer Care Call,Arlington,Virginia,22202,Solved,No,June,8
369398,without service despite willingness to pay,2015-06-26,2015-06-26 00:00:00,1900-01-01 21:09:12,Customer Care Call,Arlington,Virginia,22204,Open,No,June,21
226231,Issues with XfinityDisney,2015-09-04,2015-09-04 00:00:00,1900-01-01 12:24:32,Customer Care Call,Arlington Heights,Illinois,60004,Closed,No,September,12
241880,Cable Modem rent for Internet access,2015-04-17,2015-04-17 00:00:00,1900-01-01 15:48:16,Internet,Arlington Heights,Illinois,60004,Closed,No,April,15
360187,DisneyXfinity,2015-06-23,2015-06-23 00:00:00,1900-01-01 21:27:28,Customer Care Call,Arvada,Colorado,80004,Solved,No,June,21
223960,Speed issues,2015-08-04,2015-08-04 00:00:00,1900-01-01 12:53:45,Internet,Ashland,Virginia,23005,Closed,No,August,12
355934,ATT,2015-06-22,2015-06-22 00:00:00,1900-01-01 13:58:04,Customer Care Call,Athens,Tennessee,37303,Solved,No,June,13
211976,Fraudulent claims reported to collections agency,2015-01-04,2015-01-04 00:00:00,1900-01-01 13:26:53,Customer Care Call,Atlanta,Georgia,30312,Closed,No,January,13
243998,Disney using a Data Cap to take however much money they like,2015-04-19,2015-04-19 00:00:00,1900-01-01 22:49:13,Internet,Atlanta,Georgia,30097,Closed,No,April,22
265755,Disney Data Cap,2015-04-30,2015-04-30 00:00:00,1900-01-01 08:50:19,Customer Care Call,Atlanta,Georgia,30339,Closed,No,April,8
230907,Speed of service,2015-11-04,2015-11-04 00:00:00,1900-01-01 20:30:03,Customer Care Call,Atlanta,Georgia,30319,Closed,No,November,20
231273,Disneys Monopolistic Practices and Data Capping,2015-12-04,2015-12-04 00:00:00,1900-01-01 15:22:03,Internet,Atlanta,Georgia,30315,Closed,No,December,15
